condition,frame,speed_kmh,distance_m,iso,gt_width_mm,crack_px,max_comp_len,detected
crack_d25_ISO100_V60,frame_000037.png,60,2.5,100,0.3,19958,1140.9,1
crack_d25_ISO100_V60,frame_000038.png,60,2.5,100,0.3,19240,927.8,1
crack_d25_ISO100_V60,frame_000039.png,60,2.5,100,0.3,5761,111.0,1
crack_d25_ISO100_V60,frame_000040.png,60,2.5,100,0.3,0,0.0,0
crack_d25_ISO100_V60,frame_000041.png,60,2.5,100,0.3,4527,280.4,1
crack_d25_ISO100_V60,frame_000042.png,60,2.5,100,0.3,18873,1045.5,1
crack_d25_ISO100_V60,frame_000043.png,60,2.5,100,0.3,42268,1622.2,1
crack_d25_ISO100_V60,frame_000044.png,60,2.5,100,0.3,44812,2378.8,1
crack_d25_ISO100_V60,frame_000045.png,60,2.5,100,0.3,35064,1505.6,1
crack_d25_ISO100_V60,frame_000046.png,60,2.5,100,0.3,18967,340.7,1
crack_d25_ISO100_V60,frame_000047.png,60,2.5,100,0.3,6419,482.6,1
crack_d25_ISO200_V60,frame_000033.png,60,2.5,200,0.3,7392,411.9,1
crack_d25_ISO200_V60,frame_000034.png,60,2.5,200,0.3,16761,1206.3,1
crack_d25_ISO200_V60,frame_000035.png,60,2.5,200,0.3,24971,817.9,1
crack_d25_ISO200_V60,frame_000036.png,60,2.5,200,0.3,27780,1075.9,1
crack_d25_ISO200_V60,frame_000037.png,60,2.5,200,0.3,24108,1079.7,1
crack_d25_ISO200_V60,frame_000038.png,60,2.5,200,0.3,10823,403.2,1
crack_d25_ISO200_V60,frame_000039.png,60,2.5,200,0.3,6553,582.8,1
crack_d25_ISO200_V60,frame_000040.png,60,2.5,200,0.3,30972,1058.2,1
crack_d25_ISO200_V60,frame_000041.png,60,2.5,200,0.3,51114,2678.3,1
crack_d25_ISO200_V60,frame_000042.png,60,2.5,200,0.3,55071,2542.7,1
crack_d25_ISO200_V60,frame_000043.png,60,2.5,200,0.3,58234,2878.5,1
crack_d25_ISO200_V60,frame_000044.png,60,2.5,200,0.3,48040,2567.9,1
crack_d25_ISO200_V60,frame_000045.png,60,2.5,200,0.3,36819,572.1,1
crack_d25_ISO200_V60,frame_000046.png,60,2.5,200,0.3,8299,143.4,1
crack_d25_ISO200_V60,frame_000047.png,60,2.5,200,0.3,2535,161.3,1
crack_d25_ISO200_V60,frame_000048.png,60,2.5,200,0.3,0,0.0,0
crack_d25_ISO400_V60,frame_000027.png,60,2.5,400,0.3,1624,94.2,1
crack_d25_ISO400_V60,frame_000028.png,60,2.5,400,0.3,750,83.2,1
crack_d25_ISO400_V60,frame_000029.png,60,2.5,400,0.3,2385,114.3,1
crack_d25_ISO400_V60,frame_000030.png,60,2.5,400,0.3,6765,122.4,1
crack_d25_ISO400_V60,frame_000031.png,60,2.5,400,0.3,18745,452.7,1
crack_d25_ISO400_V60,frame_000032.png,60,2.5,400,0.3,11765,247.7,1
crack_d25_ISO400_V60,frame_000033.png,60,2.5,400,0.3,6362,597.7,1
crack_d25_ISO400_V60,frame_000034.png,60,2.5,400,0.3,3916,81.0,1
crack_d25_ISO400_V60,frame_000035.png,60,2.5,400,0.3,11295,447.9,1
crack_d25_ISO400_V60,frame_000036.png,60,2.5,400,0.3,17657,429.7,1
crack_d25_ISO400_V60,frame_000037.png,60,2.5,400,0.3,25226,1074.6,1
crack_d25_ISO400_V60,frame_000038.png,60,2.5,400,0.3,13423,612.2,1
crack_d25_ISO400_V60,frame_000039.png,60,2.5,400,0.3,1387,54.4,1
crack_d25_ISO400_V60,frame_000040.png,60,2.5,400,0.3,976,51.0,1
crack_d25_ISO400_V60,frame_000041.png,60,2.5,400,0.3,0,0.0,0
crack_d25_ISO800_V60,frame_000033.png,60,2.5,800,0.3,7852,187.0,1
crack_d25_ISO800_V60,frame_000034.png,60,2.5,800,0.3,8480,206.9,1
crack_d25_ISO800_V60,frame_000035.png,60,2.5,800,0.3,7384,145.6,1
crack_d25_ISO800_V60,frame_000036.png,60,2.5,800,0.3,11983,325.2,1
crack_d25_ISO800_V60,frame_000037.png,60,2.5,800,0.3,15443,812.4,1
crack_d25_ISO800_V60,frame_000038.png,60,2.5,800,0.3,27854,1502.0,1
crack_d25_ISO800_V60,frame_000039.png,60,2.5,800,0.3,23472,343.6,1
crack_d25_ISO800_V60,frame_000040.png,60,2.5,800,0.3,17402,360.5,1
crack_d25_ISO800_V60,frame_000041.png,60,2.5,800,0.3,18598,732.6,1
crack_d25_ISO800_V60,frame_000042.png,60,2.5,800,0.3,16864,745.5,1
crack_d25_ISO800_V60,frame_000043.png,60,2.5,800,0.3,4418,246.4,1
crack_d25_ISO800_V60,frame_000044.png,60,2.5,800,0.3,0,0.0,0
crack_d25_ISO800_V60,frame_000045.png,60,2.5,800,0.3,0,0.0,0
crack_d25_ISO800_V60,frame_000046.png,60,2.5,800,0.3,0,0.0,0
crack_d25_ISO1600_V60,frame_000016.png,60,2.5,1600,0.3,370,53.1,1
crack_d25_ISO1600_V60,frame_000017.png,60,2.5,1600,0.3,0,0.0,0
crack_d25_ISO1600_V60,frame_000018.png,60,2.5,1600,0.3,0,0.0,0
crack_d25_ISO1600_V60,frame_000019.png,60,2.5,1600,0.3,153,31.4,1
crack_d25_ISO1600_V60,frame_000020.png,60,2.5,1600,0.3,2997,88.5,1
crack_d25_ISO1600_V60,frame_000021.png,60,2.5,1600,0.3,6241,357.5,1
crack_d25_ISO1600_V60,frame_000022.png,60,2.5,1600,0.3,2353,54.6,1
crack_d25_ISO1600_V60,frame_000023.png,60,2.5,1600,0.3,27,9.4,0
crack_d25_ISO1600_V60,frame_000024.png,60,2.5,1600,0.3,0,0.0,0
crack_d25_ISO1600_V60,frame_000025.png,60,2.5,1600,0.3,973,37.9,1
crack_d25_ISO1600_V60,frame_000026.png,60,2.5,1600,0.3,2932,91.2,1
crack_d25_ISO1600_V60,frame_000027.png,60,2.5,1600,0.3,13,5.0,0
crack_d25_ISO1600_V60,frame_000028.png,60,2.5,1600,0.3,0,0.0,0
crack_d25_ISO1600_V60,frame_000029.png,60,2.5,1600,0.3,0,0.0,0
crack_d35_ISO100_V60,frame_000023.png,60,3.5,100,0.3,0,0.0,0
crack_d35_ISO100_V60,frame_000024.png,60,3.5,100,0.3,0,0.0,0
crack_d35_ISO100_V60,frame_000025.png,60,3.5,100,0.3,0,0.0,0
crack_d35_ISO100_V60,frame_000026.png,60,3.5,100,0.3,15055,647.3,1
crack_d35_ISO100_V60,frame_000027.png,60,3.5,100,0.3,21478,630.4,1
crack_d35_ISO100_V60,frame_000028.png,60,3.5,100,0.3,23408,767.7,1
crack_d35_ISO100_V60,frame_000029.png,60,3.5,100,0.3,13903,574.8,1
crack_d35_ISO100_V60,frame_000030.png,60,3.5,100,0.3,5381,105.1,1
crack_d35_ISO100_V60,frame_000031.png,60,3.5,100,0.3,8342,492.0,1
crack_d35_ISO100_V60,frame_000032.png,60,3.5,100,0.3,21942,707.5,1
crack_d35_ISO100_V60,frame_000033.png,60,3.5,100,0.3,31076,815.5,1
crack_d35_ISO100_V60,frame_000034.png,60,3.5,100,0.3,30897,1146.8,1
crack_d35_ISO100_V60,frame_000035.png,60,3.5,100,0.3,22949,644.0,1
crack_d35_ISO100_V60,frame_000036.png,60,3.5,100,0.3,8643,296.7,1
crack_d35_ISO100_V60,frame_000037.png,60,3.5,100,0.3,64,16.2,0
crack_d35_ISO100_V60,frame_000038.png,60,3.5,100,0.3,0,0.0,0
crack_d35_ISO200_V60,frame_000037.png,60,3.5,200,0.3,0,0.0,0
crack_d35_ISO200_V60,frame_000038.png,60,3.5,200,0.3,0,0.0,0
crack_d35_ISO200_V60,frame_000039.png,60,3.5,200,0.3,1989,190.0,1
crack_d35_ISO200_V60,frame_000040.png,60,3.5,200,0.3,9774,375.4,1
crack_d35_ISO200_V60,frame_000041.png,60,3.5,200,0.3,18387,591.4,1
crack_d35_ISO200_V60,frame_000042.png,60,3.5,200,0.3,25814,624.0,1
crack_d35_ISO200_V60,frame_000043.png,60,3.5,200,0.3,23170,879.4,1
crack_d35_ISO200_V60,frame_000044.png,60,3.5,200,0.3,10691,241.0,1
crack_d35_ISO200_V60,frame_000045.png,60,3.5,200,0.3,4276,117.3,1
crack_d35_ISO200_V60,frame_000046.png,60,3.5,200,0.3,17825,824.6,1
crack_d35_ISO200_V60,frame_000047.png,60,3.5,200,0.3,38087,1402.1,1
crack_d35_ISO200_V60,frame_000048.png,60,3.5,200,0.3,50959,1813.8,1
crack_d35_ISO200_V60,frame_000049.png,60,3.5,200,0.3,44118,1247.6,1
