condition,speed_kmh,distance_m,iso,gt_width_mm,same_location,frames,src_frames,match
crack_d25_ISO100_V60,60,2.5,100,0.3,True,12,12,True
crack_d25_ISO200_V60,60,2.5,200,0.3,True,16,16,True
crack_d25_ISO400_V60,60,2.5,400,0.3,True,15,15,True
crack_d25_ISO800_V60,60,2.5,800,0.3,True,14,14,True
crack_d25_ISO1600_V60,60,2.5,1600,0.3,True,14,14,True
crack_d35_ISO100_V60,60,3.5,100,0.3,True,16,16,True
crack_d35_ISO200_V60,60,3.5,200,0.3,True,17,17,True
crack_d35_ISO400_V60,60,3.5,400,0.3,True,15,15,True
crack_d35_ISO800_V60,60,3.5,800,0.3,True,14,14,True
crack_d35_ISO1600_V60,60,3.5,1600,0.3,True,16,16,True
crack_d45_ISO100_V60,60,4.5,100,0.3,True,16,16,True
crack_d45_ISO200_V60,60,4.5,200,0.3,True,17,17,True
crack_d45_ISO400_V60,60,4.5,400,0.3,True,16,16,True
crack_d45_ISO800_V60,60,4.5,800,0.3,True,17,17,True
crack_d45_ISO1600_V60,60,4.5,1600,0.3,True,14,14,True
crack_d55_ISO100_V60,60,5.5,100,0.3,True,16,16,True
crack_d55_ISO200_V60,60,5.5,200,0.3,True,16,16,True
crack_d55_ISO400_V60,60,5.5,400,0.3,True,15,15,True
crack_d55_ISO800_V60,60,5.5,800,0.3,True,15,15,True
crack_d55_ISO1600_V60,60,5.5,1600,0.3,True,15,15,True
crack_d65_ISO100_V60,60,6.5,100,0.3,True,21,21,True
crack_d65_ISO200_V60,60,6.5,200,0.3,True,17,17,True
crack_d65_ISO400_V60,60,6.5,400,0.3,True,16,16,True
crack_d65_ISO800_V60,60,6.5,800,0.3,True,14,14,True
crack_d65_ISO1600_V60,60,6.5,1600,0.3,True,16,16,True
crack_d25_ISO100_V80,80,2.5,100,0.3,True,14,14,True
crack_d25_ISO200_V80,80,2.5,200,0.3,True,14,14,True
crack_d25_ISO400_V80,80,2.5,400,0.3,True,14,14,True
crack_d25_ISO800_V80,80,2.5,800,0.3,True,15,15,True
crack_d25_ISO1600_V80,80,2.5,1600,0.3,True,14,14,True
crack_d35_ISO100_V80,80,3.5,100,0.3,True,13,13,True
crack_d35_ISO200_V80,80,3.5,200,0.3,True,13,13,True
crack_d35_ISO400_V80,80,3.5,400,0.3,True,15,15,True
crack_d35_ISO800_V80,80,3.5,800,0.3,True,14,14,True
crack_d35_ISO1600_V80,80,3.5,1600,0.3,True,14,14,True
crack_d45_ISO100_V80,80,4.5,100,0.3,True,14,14,True
crack_d45_ISO200_V80,80,4.5,200,0.3,True,13,13,True
crack_d45_ISO400_V80,80,4.5,400,0.3,True,13,13,True
crack_d45_ISO800_V80,80,4.5,800,0.3,True,12,12,True
crack_d45_ISO1600_V80,80,4.5,1600,0.3,True,14,14,True
crack_d55_ISO100_V80,80,5.5,100,0.3,True,15,15,True
crack_d55_ISO200_V80,80,5.5,200,0.3,True,11,11,True
crack_d55_ISO400_V80,80,5.5,400,0.3,True,13,13,True
crack_d55_ISO800_V80,80,5.5,800,0.3,True,14,14,True
crack_d55_ISO1600_V80,80,5.5,1600,0.3,True,14,14,True
crack_d65_ISO100_V80,80,6.5,100,0.3,True,18,18,True
crack_d65_ISO200_V80,80,6.5,200,0.3,True,14,14,True
crack_d65_ISO400_V80,80,6.5,400,0.3,True,16,16,True
crack_d65_ISO800_V80,80,6.5,800,0.3,True,13,13,True
crack_d65_ISO1600_V80,80,6.5,1600,0.3,True,14,14,True
