condition,speed_kmh,iso,distance_m,chart_identifiable,chart_0p3_detectable,chart_min_width_mm,cnn_det_rate,cnn_n_detected,cnn_n_frames,cnn_cond_detected,mean_crack_px,mean_max_len,mtf_h,bew_h,sigma_motion
crack_d25_ISO100_V60,60,100,2.5,1,0,0.4,0.909,10,11,1,19626.3,894.1,0.1064,4.938,2.212
crack_d25_ISO200_V60,60,200,2.5,1,1,0.1,0.938,15,16,1,25592.0,1136.3,0.1131,4.636,1.899
crack_d25_ISO400_V60,60,400,2.5,1,1,0.1,0.933,14,15,1,8151.7,297.5,0.1159,4.478,2.503
crack_d25_ISO800_V60,60,800,2.5,1,1,0.1,0.786,11,14,1,11410.7,400.6,0.1242,4.544,1.769
crack_d25_ISO1600_V60,60,1600,2.5,0,0,NA,0.5,7,14,1,1147.1,52.0,0.1194,7.593,
crack_d35_ISO100_V60,60,100,3.5,1,0,0.6,0.688,11,16,1,12696.1,427.8,0.1109,4.745,1.696
crack_d35_ISO200_V60,60,200,3.5,1,1,0.3,0.824,14,17,1,16590.5,558.8,0.1123,4.673,1.452
crack_d35_ISO400_V60,60,400,3.5,1,0,0.4,0.8,12,15,1,20543.9,705.8,0.102,5.042,2.061
crack_d35_ISO800_V60,60,800,3.5,1,1,0.2,0.929,13,14,1,18314.9,556.5,0.1165,4.521,2.045
crack_d35_ISO1600_V60,60,1600,3.5,1,0,0.7,0.812,13,16,1,2848.1,107.7,0.1483,3.881,0.993
crack_d45_ISO100_V60,60,100,4.5,1,1,0.1,0.625,10,16,1,2116.0,80.2,0.1168,4.483,1.026
crack_d45_ISO200_V60,60,200,4.5,1,1,0.1,0.765,13,17,1,6997.6,228.2,0.1124,4.681,
crack_d45_ISO400_V60,60,400,4.5,1,1,0.1,0.938,15,16,1,20619.5,684.6,0.1119,4.639,0.612
crack_d45_ISO800_V60,60,800,4.5,1,1,0.1,0.824,14,17,1,20788.1,691.4,0.1106,4.767,
crack_d45_ISO1600_V60,60,1600,4.5,1,1,0.1,0.857,12,14,1,3378.1,134.6,0.1118,4.72,0.119
crack_d55_ISO100_V60,60,100,5.5,1,1,0.1,0.0,0,16,0,21.8,3.6,0.1064,4.947,2.521
crack_d55_ISO200_V60,60,200,5.5,1,0,0.7,0.688,11,16,1,2835.5,151.9,0.0992,5.202,2.378
crack_d55_ISO400_V60,60,400,5.5,1,0,0.7,0.867,13,15,1,11154.4,340.5,0.1138,4.506,1.964
crack_d55_ISO800_V60,60,800,5.5,1,1,0.1,0.933,14,15,1,18731.0,594.7,0.1015,5.245,2.436
crack_d55_ISO1600_V60,60,1600,5.5,1,1,0.1,0.933,14,15,1,6021.4,263.2,0.0961,5.377,2.443
crack_d65_ISO100_V60,60,100,6.5,0,0,NA,0.0,0,21,0,0.0,0.0,0.1158,4.472,2.424
crack_d65_ISO200_V60,60,200,6.5,0,0,NA,0.176,3,17,0,80.1,6.1,0.0924,5.653,
crack_d65_ISO400_V60,60,400,6.5,1,1,0.1,0.5,8,16,1,1422.8,40.2,0.1146,4.515,2.378
crack_d65_ISO800_V60,60,800,6.5,1,1,0.1,0.929,13,14,1,7953.0,250.5,0.0855,6.008,0.557
crack_d65_ISO1600_V60,60,1600,6.5,1,1,0.1,0.5,8,16,1,828.9,22.9,0.0862,6.082,
crack_d25_ISO100_V80,80,100,2.5,1,0,0.5,0.714,10,14,1,9047.0,427.8,0.0982,5.16,3.019
crack_d25_ISO200_V80,80,200,2.5,1,1,0.1,0.786,11,14,1,17425.7,678.1,0.1011,5.016,2.738
crack_d25_ISO400_V80,80,400,2.5,1,0,0.4,0.786,11,14,1,6269.9,211.5,0.1106,4.612,2.896
crack_d25_ISO800_V80,80,800,2.5,1,1,0.1,0.4,6,15,0,420.8,20.2,0.1234,4.688,2.433
crack_d25_ISO1600_V80,80,1600,2.5,0,0,NA,0.0,0,14,0,3.0,0.8,0.1235,9.488,6.298
crack_d35_ISO100_V80,80,100,3.5,1,1,0.1,0.692,9,13,1,4123.7,169.4,0.1059,4.817,2.721
crack_d35_ISO200_V80,80,200,3.5,1,1,0.3,0.769,10,13,1,13493.8,494.1,0.1068,4.774,2.686
crack_d35_ISO400_V80,80,400,3.5,1,0,0.5,0.733,11,15,1,14535.7,427.7,0.0981,5.191,2.783
crack_d35_ISO800_V80,80,800,3.5,1,0,0.5,0.643,9,14,1,1013.6,43.2,0.0981,5.191,2.783
crack_d35_ISO1600_V80,80,1600,3.5,1,1,0.1,0.143,2,14,0,52.2,4.7,0.1424,4.168,2.02
crack_d45_ISO100_V80,80,100,4.5,1,1,0.1,0.429,6,14,0,989.4,51.1,0.1035,4.839,2.151
crack_d45_ISO200_V80,80,200,4.5,1,0,0.4,0.769,10,13,1,5007.1,195.6,0.1031,4.872,2.22
crack_d45_ISO400_V80,80,400,4.5,1,1,0.1,0.846,11,13,1,13622.4,540.2,0.1003,5.132,2.456
crack_d45_ISO800_V80,80,800,4.5,1,1,0.3,0.833,10,12,1,3438.9,170.5,0.1046,4.864,1.85
crack_d45_ISO1600_V80,80,1600,4.5,1,1,0.2,0.143,2,14,0,41.1,4.5,0.1032,4.969,2.054
crack_d55_ISO100_V80,80,100,5.5,1,1,0.1,0.0,0,15,0,5.9,1.2,0.1057,5.281,2.852
crack_d55_ISO200_V80,80,200,5.5,1,0,0.4,0.636,7,11,1,1327.8,42.2,0.0928,5.558,3.075
crack_d55_ISO400_V80,80,400,5.5,1,0,0.7,0.692,9,13,1,7506.5,340.3,0.1165,4.588,2.046
crack_d55_ISO800_V80,80,800,5.5,1,1,0.1,0.643,9,14,1,3483.3,192.2,0.0902,5.564,3.073
crack_d55_ISO1600_V80,80,1600,5.5,1,1,0.3,0.071,1,14,0,39.5,4.5,0.0942,5.364,2.964
crack_d65_ISO100_V80,80,100,6.5,0,0,NA,0.0,0,18,0,0.0,0.0,0.1065,4.867,2.961
crack_d65_ISO200_V80,80,200,6.5,0,0,NA,0.143,2,14,0,49.2,3.1,0.0815,6.33,1.856
crack_d65_ISO400_V80,80,400,6.5,1,1,0.1,0.375,6,16,0,516.8,22.4,0.1023,4.943,3.076
crack_d65_ISO800_V80,80,800,6.5,1,1,0.1,0.462,6,13,0,1081.7,74.3,0.0799,6.485,1.852
crack_d65_ISO1600_V80,80,1600,6.5,1,1,0.1,0.071,1,14,0,11.8,1.3,0.0798,6.511,1.365
