cam,speed,iso,dist,sigma_motion,theory_blur,eta,eta_pct_dev,blur_err_pct
cam1,60,100,2.5,2.324047461437747,2.777777777777778,0.8366570861175888,-16.33429138824112,16.401170451879604
cam1,60,100,3.5,1.9684722026231405,2.777777777777778,0.7086499929443305,-29.13500070556695,29.191647387656825
cam1,60,100,4.5,2.003861783399109,2.777777777777778,0.7213902420236791,-27.860975797632094,27.91864088492414
cam1,60,1600,3.5,1.141464738833401,2.777777777777778,0.4109273059800243,-58.907269401997574,58.94011730815104
cam1,60,1600,4.5,2.3054006099414357,2.777777777777778,0.8299442195789167,-17.005578042108326,17.071920505703748
cam1,60,200,2.5,0.9994390779262704,2.777777777777778,0.3597980680534573,-64.02019319465427,64.04895403142912
cam1,60,200,3.5,2.016587331773777,2.777777777777778,0.7259714394385596,-27.402856056144042,27.460887346267015
cam1,60,200,4.5,2.344950248228447,2.777777777777778,0.8441820893622408,-15.581791063775919,15.649271646458734
cam1,60,400,3.5,2.7187471836705073,2.777777777777778,0.9787489861213825,-2.1251013878617497,2.203338716888221
cam1,60,800,2.5,1.8735723731684348,2.777777777777778,0.6744860543406365,-32.551394565936356,32.605310317682196
cam1,60,800,3.5,1.7424604982051926,2.777777777777778,0.6272857793538692,-37.27142206461308,37.32156481276285
cam1,60,800,4.5,2.2691550203044404,2.777777777777778,0.8168958073095984,-18.310419269040157,18.37571869408487
cam1,80,100,2.5,2.541359979789366,3.703703703703704,0.6861671945431287,-31.383280545687132,31.31459514082795
cam1,80,100,3.5,2.334213663917561,3.703703703703704,0.6302376892577414,-36.976231074225865,36.9131442184443
cam1,80,100,4.5,2.8089550576014912,3.703703703703704,0.7584178655524025,-24.158213444759745,24.08229574050024
cam1,80,1600,2.5,1.7675539459642262,3.703703703703704,0.477239565410341,-52.2760434589659,52.2282717306966
cam1,80,1600,3.5,2.5835603129451026,3.703703703703704,0.6975612844951776,-30.243871550482236,30.174045596078315
cam1,80,1600,4.5,2.8413278145965495,3.703703703703704,0.7671585099410683,-23.284149005893173,23.207356362255425
cam1,80,200,2.5,2.357902272147852,3.703703703703704,0.63663361347992,-36.336638652008006,36.27291156357157
cam1,80,200,3.5,2.598438054956051,3.703703703703704,0.7015782748381337,-29.842172516186626,29.77194446064727
cam1,80,200,4.5,3.022158757503576,3.703703703703704,0.8159828645259655,-18.401713547403453,18.320033580984436
cam1,80,400,2.5,2.2213563917000902,3.703703703703704,0.5997662257590243,-40.023377424097575,39.96334076486242
cam1,80,400,3.5,2.956528006165283,3.703703703703704,0.7982625616646263,-20.173743833537372,20.093837671208572
cam1,80,800,2.5,2.6259138327047458,3.703703703703704,0.7089967348302812,-29.100326516971876,29.029355872844715
