speed,iso,dist,C_M,L_90,mtf_h,mtf_v,bew_h,bew_v,sigma_motion,blur_err_pct,min_crack_mm,identifiable,identifiable_bin,mdw_mm,D_Y,uniformity_pct,D_L,Y_mean,Y_std
60,100,2.5,0.38,138.0,0.1144575757575757,0.14191875,4.631818181818182,4.0065625,2.324047461437747,16.401170451879604,0.4,Y,1,0.4,86.36,13.64,35.02,90.12,45.06
60,100,3.5,0.3333,98.0,0.12078125,0.151705,4.28625,3.8075,1.9684722026231405,29.191647387656825,0.6,Y,1,0.6,85.79,14.21,25.72,74.97,38.65
60,100,4.5,0.3274,75.0,0.1128692307692307,0.13725625,4.564615384615385,4.10125,2.003861783399109,27.91864088492414,0.1,Y,1,0.1,86.07,13.93,20.89,60.96,35.65
60,100,5.5,0.3261,61.0,,,,,,,0.1,Y,1,0.1,86.24,13.76,22.94,53.0,34.69
60,100,6.5,0.3611,49.0,,,,,,,,N,0,,85.1,14.9,24.83,46.97,31.4
60,1600,2.5,0.018,255.0,0.14736,0.1550444444444444,4.502666666666667,4.717222222222222,,,,N,0,,52.67,47.33,7.05,163.01,20.39
60,1600,3.5,0.0737,255.0,0.1502466666666666,0.189105,3.642,3.4585,1.141464738833401,58.94011730815104,0.7,Y,1,0.7,55.51,44.49,11.36,167.83,22.17
60,1600,4.5,0.1806,255.0,0.1051529411764705,0.1271941176470588,4.924705882352941,4.351764705882353,2.3054006099414357,17.071920505703748,0.1,Y,1,0.1,54.47,45.53,14.41,170.92,26.2
60,1600,5.5,0.2544,249.0,,,,,,,0.1,Y,1,0.1,55.94,44.06,11.1,166.86,27.04
60,1600,6.5,0.2597,211.0,,,,,,,0.1,Y,1,0.1,60.44,39.56,8.88,158.18,25.64
60,200,2.5,0.3643,191.0,0.12836,0.1523499999999999,3.9153333333333338,3.785625,0.9994390779262704,64.04895403142912,0.1,Y,1,0.1,87.33,12.67,28.51,118.38,45.26
60,200,3.5,0.3116,141.0,0.1191823529411764,0.1520409090909091,4.335294117647059,3.837727272727273,2.016587331773777,27.460887346267015,0.3,Y,1,0.3,84.34,15.66,24.15,106.88,36.79
60,200,4.5,0.2899,109.0,0.1057611111111111,0.1300944444444444,4.918333333333333,4.323333333333334,2.344950248228447,15.649271646458734,0.1,Y,1,0.1,84.35,15.65,30.25,93.83,36.05
60,200,5.5,0.2993,89.0,,,,,,,0.7,Y,1,0.7,84.89,15.11,28.64,79.99,36.12
60,200,6.5,0.3153,73.0,,,,,,,,N,0,,85.08,14.92,27.97,70.19,35.54
60,400,2.5,0.3646,189.0,0.0974416666666666,0.0924722222222222,5.2825,5.7811111111111115,,,0.1,Y,1,0.1,79.91,20.09,11.91,151.78,36.65
60,400,3.5,0.3081,138.0,0.103,0.1448461538461538,5.010909090909091,4.2092307692307696,2.7187471836705073,2.203338716888221,0.4,Y,1,0.4,75.87,24.13,12.99,145.49,31.04
60,400,4.5,0.2749,160.0,,,,,,,0.1,Y,1,0.1,76.28,23.72,13.34,128.48,28.72
60,400,5.5,0.2745,130.0,,,,,,,0.7,Y,1,0.7,75.97,24.03,15.67,118.11,31.16
60,400,6.5,0.2883,105.0,,,,,,,0.1,Y,1,0.1,73.86,26.14,11.64,107.37,27.53
60,800,2.5,0.1833,255.0,0.13418125,0.1679375,4.075,3.61875,1.8735723731684348,32.605310317682196,0.1,Y,1,0.1,72.72,27.28,10.08,157.23,29.79
60,800,3.5,0.2379,255.0,0.1203928571428571,0.1501166666666666,4.319285714285714,3.9522222222222223,1.7424604982051926,37.32156481276285,0.2,Y,1,0.2,63.17,36.83,16.15,161.59,29.92
60,800,4.5,0.269,217.0,0.1073888888888889,0.1282888888888889,4.881666666666667,4.322222222222222,2.2691550203044404,18.37571869408487,0.1,Y,1,0.1,62.54,37.46,9.14,151.27,28.86
60,800,5.5,0.2632,180.0,,,,,,,0.1,Y,1,0.1,62.77,37.23,9.03,141.89,26.82
60,800,6.5,0.2759,148.0,,,,,,,0.1,Y,1,0.1,62.83,37.17,7.21,137.54,23.53
80,100,2.5,0.3878,136.0,0.1064125,0.1458375,4.70375,3.958125,2.541359979789366,31.31459514082795,0.5,Y,1,0.5,86.01,13.99,32.79,91.31,44.53
80,100,3.5,0.3247,102.0,0.109425,0.14886875,4.590833333333333,3.953125,2.334213663917561,36.9131442184443,0.1,Y,1,0.1,85.36,14.64,29.94,78.34,38.83
